"UE-1";"0.001";"196.1591999606954 -113.2368500470663 2"
"UE-2";"0.001";"-141.0908448108703 -41.67363652027262 2"
"UE-3";"0.001";"-271.4285568963131 -147.32859244119558 2"
"UE-4";"0.001";"224.09730809019834 161.20509951910668 2"
"UE-5";"0.001";"147.65335874397107 286.3050461770631 2"
"UE-6";"0.001";"137.60451714118807 21.96141602591399 2"
"UE-7";"0.001";"20.397112333548023 47.587097469827484 2"
"UE-8";"0.001";"-257.41512130472836 89.70466237271114 2"
"UE-9";"0.001";"-272.807370903821 -220.88515279921043 2"
"UE-10";"0.001";"-122.21834179907009 94.10380742462144 2"
"UE-11";"0.001";"-153.91070982569107 231.70911900383453 2"
"UE-12";"0.001";"-281.3780764776748 282.9036236884199 2"
"UE-13";"0.001";"-255.57000807369914 -289.22895356718817 2"
"UE-14";"0.001";"170.78966951500058 -297.0238590576739 2"
"UE-15";"0.001";"150.68577239015826 -218.23827070991055 2"
"UE-1";"0.002";"196.15160074923847 -113.24895260176827 2.0"
"UE-2";"0.002";"-141.11683789182777 -41.6811850241338 2.0"
"UE-3";"0.002";"-271.40330593899427 -147.33756092874174 2.0"
"UE-4";"0.002";"224.07321866164787 161.18305080520855 2.0"
"UE-5";"0.002";"147.65827021207662 286.2861964144862 2.0"
"UE-6";"0.002";"137.6204626416228 21.972749030617354 2.0"
"UE-7";"0.002";"20.42706382160948 47.59613461687415 2.0"
"UE-8";"0.002";"-257.38910684405755 89.70737622223878 2.0"
"UE-9";"0.002";"-272.8024814651271 -220.86329462595316 2.0"
"UE-10";"0.002";"-122.23817058168679 94.11280487331041 2.0"
"UE-11";"0.002";"-153.90522846890485 231.69003906371896 2.0"
"UE-12";"0.002";"-281.3723854517007 282.88724155239703 2.0"
"UE-13";"0.002";"-255.5409492499491 -289.2227098592161 2.0"
"UE-14";"0.002";"170.77467215805535 -297.01980154704125 2.0"
"UE-15";"0.002";"150.66719003786645 -218.214739618956 2.0"
"UE-1";"0.003";"196.14400153778155 -113.26105515647023 2.0"
"UE-2";"0.003";"-141.14283097278525 -41.688733527994984 2.0"
"UE-3";"0.003";"-271.3780549816754 -147.3465294162879 2.0"
"UE-4";"0.003";"224.0491292330974 161.16100209131042 2.0"
"UE-5";"0.003";"147.66318168018216 286.2673466519093 2.0"
"UE-6";"0.003";"137.63640814205752 21.984082035320718 2.0"
"UE-7";"0.003";"20.457015309670936 47.60517176392082 2.0"
"UE-8";"0.003";"-257.36309238338674 89.71009007176642 2.0"
"UE-9";"0.003";"-272.79759202643316 -220.8414364526959 2.0"
"UE-10";"0.003";"-122.25799936430349 94.12180232199938 2.0"
"UE-11";"0.003";"-153.89974711211863 231.67095912360338 2.0"
"UE-12";"0.003";"-281.3666944257266 282.8708594163742 2.0"
"UE-13";"0.003";"-255.51189042619907 -289.216466151244 2.0"
"UE-14";"0.003";"170.75967480111012 -297.0157440364086 2.0"
"UE-15";"0.003";"150.64860768557463 -218.19120852800145 2.0"
"UE-1";"0.004";"196.13640232632463 -113.2731577111722 2.0"
"UE-2";"0.004";"-141.16882405374272 -41.696282031856164 2.0"
"UE-3";"0.004";"-271.35280402435654 -147.35549790383405 2.0"
"UE-4";"0.004";"224.02503980454694 161.1389533774123 2.0"
"UE-5";"0.004";"147.6680931482877 286.2484968893324 2.0"
"UE-6";"0.004";"137.65235364249224 21.99541504002408 2.0"
"UE-7";"0.004";"20.486966797732393 47.61420891096749 2.0"
"UE-8";"0.004";"-257.33707792271593 89.71280392129405 2.0"
"UE-9";"0.004";"-272.79270258773926 -220.81957827943862 2.0"
"UE-10";"0.004";"-122.27782814692019 94.13079977068836 2.0"
"UE-11";"0.004";"-153.8942657553324 231.6518791834878 2.0"
"UE-12";"0.004";"-281.3610033997525 282.8544772803513 2.0"
"UE-13";"0.004";"-255.48283160244904 -289.2102224432719 2.0"
"UE-14";"0.004";"170.7446774441649 -297.01168652577593 2.0"
"UE-15";"0.004";"150.63002533328282 -218.1676774370469 2.0"
"UE-1";"0.005";"196.1288031148677 -113.28526026587417 2.0"
"UE-2";"0.005";"-141.1948171347002 -41.703830535717344 2.0"
"UE-3";"0.005";"-271.3275530670377 -147.3644663913802 2.0"
"UE-4";"0.005";"224.00095037599647 161.11690466351416 2.0"
"UE-5";"0.005";"147.67300461639326 286.2296471267555 2.0"
"UE-6";"0.005";"137.66829914292697 22.006748044727445 2.0"
"UE-7";"0.005";"20.51691828579385 47.62324605801416 2.0"
"UE-8";"0.005";"-257.3110634620451 89.71551777082169 2.0"
"UE-9";"0.005";"-272.78781314904535 -220.79772010618134 2.0"
"UE-10";"0.005";"-122.29765692953688 94.13979721937733 2.0"
"UE-11";"0.005";"-153.8887843985462 231.63279924337223 2.0"
"UE-12";"0.005";"-281.3553123737784 282.83809514432846 2.0"
"UE-13";"0.005";"-255.453772778699 -289.2039787352998 2.0"
"UE-14";"0.005";"170.72968008721966 -297.00762901514327 2.0"
"UE-15";"0.005";"150.611442980991 -218.14414634609236 2.0"
"UE-1";"0.006";"196.1212039034108 -113.29736282057614 2.0"
"UE-2";"0.006";"-141.22081021565768 -41.711379039578524 2.0"
"UE-3";"0.006";"-271.3023021097188 -147.37343487892636 2.0"
"UE-4";"0.006";"223.976860947446 161.09485594961603 2.0"
"UE-5";"0.006";"147.6779160844988 286.2107973641786 2.0"
"UE-6";"0.006";"137.6842446433617 22.01808104943081 2.0"
"UE-7";"0.006";"20.546869773855306 47.63228320506083 2.0"
"UE-8";"0.006";"-257.2850490013743 89.71823162034933 2.0"
"UE-9";"0.006";"-272.78292371035144 -220.77586193292407 2.0"
"UE-10";"0.006";"-122.31748571215358 94.1487946680663 2.0"
"UE-11";"0.006";"-153.88330304175997 231.61371930325666 2.0"
"UE-12";"0.006";"-281.3496213478043 282.8217130083056 2.0"
"UE-13";"0.006";"-255.42471395494897 -289.1977350273277 2.0"
"UE-14";"0.006";"170.71468273027443 -297.0035715045106 2.0"
"UE-15";"0.006";"150.59286062869919 -218.1206152551378 2.0"
"UE-1";"0.007";"196.11360469195387 -113.30946537527811 2.0"
"UE-2";"0.007";"-141.24680329661516 -41.718927543439705 2.0"
"UE-3";"0.007";"-271.27705115239996 -147.38240336647252 2.0"
"UE-4";"0.007";"223.95277151889553 161.0728072357179 2.0"
"UE-5";"0.007";"147.68282755260435 286.19194760160167 2.0"
"UE-6";"0.007";"137.70019014379642 22.029414054134172 2.0"
"UE-7";"0.007";"20.576821261916763 47.6413203521075 2.0"
"UE-8";"0.007";"-257.2590345407035 89.72094546987697 2.0"
"UE-9";"0.007";"-272.77803427165753 -220.7540037596668 2.0"
"UE-10";"0.007";"-122.33731449477028 94.15779211675527 2.0"
"UE-11";"0.007";"-153.87782168497375 231.59463936314108 2.0"
"UE-12";"0.007";"-281.3439303218302 282.80533087228275 2.0"
"UE-13";"0.007";"-255.39565513119894 -289.19149131935563 2.0"
"UE-14";"0.007";"170.6996853733292 -296.99951399387794 2.0"
"UE-15";"0.007";"150.57427827640737 -218.09708416418326 2.0"
"UE-1";"0.008";"196.10600548049695 -113.32156792998008 2.0"
"UE-2";"0.008";"-141.27279637757263 -41.726476047300885 2.0"
"UE-3";"0.008";"-271.2518001950811 -147.39137185401867 2.0"
"UE-4";"0.008";"223.92868209034506 161.05075852181977 2.0"
"UE-5";"0.008";"147.6877390207099 286.17309783902476 2.0"
"UE-6";"0.008";"137.71613564423114 22.040747058837535 2.0"
"UE-7";"0.008";"20.60677274997822 47.65035749915417 2.0"
"UE-8";"0.008";"-257.2330200800327 89.7236593194046 2.0"
"UE-9";"0.008";"-272.7731448329636 -220.73214558640953 2.0"
"UE-10";"0.008";"-122.35714327738698 94.16678956544425 2.0"
"UE-11";"0.008";"-153.87234032818753 231.5755594230255 2.0"
"UE-12";"0.008";"-281.3382392958561 282.7889487362599 2.0"
"UE-13";"0.008";"-255.3665963074489 -289.18524761138355 2.0"
"UE-14";"0.008";"170.68468801638397 -296.9954564832453 2.0"
"UE-15";"0.008";"150.55569592411555 -218.0735530732287 2.0"
"UE-1";"0.009000000000000001";"196.09840626904003 -113.33367048468205 2.0"
"UE-2";"0.009000000000000001";"-141.2987894585301 -41.734024551162065 2.0"
"UE-3";"0.009000000000000001";"-271.22654923776224 -147.40034034156483 2.0"
"UE-4";"0.009000000000000001";"223.9045926617946 161.02870980792164 2.0"
"UE-5";"0.009000000000000001";"147.69265048881545 286.15424807644786 2.0"
"UE-6";"0.009000000000000001";"137.73208114466587 22.0520800635409 2.0"
"UE-7";"0.009000000000000001";"20.636724238039676 47.65939464620084 2.0"
"UE-8";"0.009000000000000001";"-257.2070056193619 89.72637316893224 2.0"
"UE-9";"0.009000000000000001";"-272.7682553942697 -220.71028741315226 2.0"
"UE-10";"0.009000000000000001";"-122.37697206000368 94.17578701413322 2.0"
"UE-11";"0.009000000000000001";"-153.8668589714013 231.55647948290994 2.0"
"UE-12";"0.009000000000000001";"-281.332548269882 282.77256660023704 2.0"
"UE-13";"0.009000000000000001";"-255.33753748369887 -289.17900390341146 2.0"
"UE-14";"0.009000000000000001";"170.66969065943874 -296.9913989726126 2.0"
"UE-15";"0.009000000000000001";"150.53711357182374 -218.05002198227416 2.0"
"UE-1";"0.010000000000000002";"196.0908070575831 -113.34577303938401 2.0"
"UE-2";"0.010000000000000002";"-141.3247825394876 -41.741573055023245 2.0"
"UE-3";"0.010000000000000002";"-271.2012982804434 -147.40930882911098 2.0"
"UE-4";"0.010000000000000002";"223.88050323324413 161.0066610940235 2.0"
"UE-5";"0.010000000000000002";"147.697561956921 286.13539831387095 2.0"
"UE-6";"0.010000000000000002";"137.7480266451006 22.063413068244262 2.0"
"UE-7";"0.010000000000000002";"20.666675726101133 47.66843179324751 2.0"
"UE-8";"0.010000000000000002";"-257.1809911586911 89.72908701845988 2.0"
