"UE-1";"0.001";"-12.345724705451207 0.0 0.0"
"UE-2";"0.001";"-8.33516344862296 0.0 0.0"
"UE-3";"0.001";"-37.884198828421844 0.0 0.0"
"UE-4";"0.001";"-6.004706262036281 0.0 0.0"
"UE-5";"0.001";"17.635732135186842 0.0 0.0"
"UE-6";"0.001";"-12.953629906877984 0.0 0.0"
"UE-7";"0.001";"-11.433707850524922 0.0 0.0"
"UE-8";"0.001";"-34.441673092768205 0.0 0.0"
"UE-9";"0.001";"-28.805364808944567 0.0 0.0"
"UE-10";"0.001";"-33.58375099154509 0.0 0.0"
"UE-1";"0.002";"-11.511941102694026 0.0 0.0"
"UE-2";"0.002";"-0.8337925644321996 0.0 0.0"
"UE-3";"0.002";"-38.316642679693075 0.0 0.0"
"UE-4";"0.002";"-6.589759494156395 0.0 0.0"
"UE-5";"0.002";"20.104770732710925 0.0 0.0"
"UE-6";"0.002";"-15.311899303579768 0.0 0.0"
"UE-7";"0.002";"-9.266140358643183 0.0 0.0"
"UE-8";"0.002";"-35.28232662722901 0.0 0.0"
"UE-9";"0.002";"-34.431730860452845 0.0 0.0"
"UE-10";"0.002";"-33.971026499600974 0.0 0.0"
"UE-1";"0.003";"-11.17810566503849 0.0 0.0"
"UE-2";"0.003";"4.362616406450465 0.0 0.0"
"UE-3";"0.003";"-37.988877147374524 0.0 0.0"
"UE-4";"0.003";"-4.251125604371006 0.0 0.0"
"UE-5";"0.003";"19.674507502746504 0.0 0.0"
"UE-6";"0.003";"-19.938920872712778 0.0 0.0"
"UE-7";"0.003";"-9.861173174948435 0.0 0.0"
"UE-8";"0.003";"-34.06523927685739 0.0 0.0"
"UE-9";"0.003";"-27.985479117922573 0.0 0.0"
"UE-10";"0.003";"-35.97159795673137 0.0 0.0"
"UE-1";"0.004";"-9.408697798993993 0.0 0.0"
"UE-2";"0.004";"0.05223705125576411 0.0 0.0"
"UE-3";"0.004";"-36.981920061719485 0.0 0.0"
"UE-4";"0.004";"-9.415367882161487 0.0 0.0"
"UE-5";"0.004";"18.656698789505413 0.0 0.0"
"UE-6";"0.004";"-16.764125806871885 0.0 0.0"
"UE-7";"0.004";"-4.818416988673373 0.0 0.0"
"UE-8";"0.004";"-34.97140252552577 0.0 0.0"
"UE-9";"0.004";"-32.02522485893342 0.0 0.0"
"UE-10";"0.004";"-35.57847060531577 0.0 0.0"
"UE-1";"0.005";"-11.749169710908935 0.0 0.0"
"UE-2";"0.005";"0.12600088373894025 0.0 0.0"
"UE-3";"0.005";"-34.74316541609675 0.0 0.0"
"UE-4";"0.005";"-6.553641765131556 0.0 0.0"
"UE-5";"0.005";"21.329812228705375 0.0 0.0"
"UE-6";"0.005";"-16.779584239682986 0.0 0.0"
"UE-7";"0.005";"-11.926666118881009 0.0 0.0"
"UE-8";"0.005";"-35.523771720971425 0.0 0.0"
"UE-9";"0.005";"-30.75601390905582 0.0 0.0"
"UE-10";"0.005";"-33.01738353649323 0.0 0.0"
"UE-1";"0.006";"-11.504533446393701 0.0 0.0"
"UE-2";"0.006";"1.2218449888939624 0.0 0.0"
"UE-3";"0.006";"-37.494253637125 0.0 0.0"
"UE-4";"0.006";"-8.49436120877683 0.0 0.0"
"UE-5";"0.006";"20.076847455137692 0.0 0.0"
"UE-6";"0.006";"-18.989548522946933 0.0 0.0"
"UE-7";"0.006";"-10.443545274264181 0.0 0.0"
"UE-8";"0.006";"-35.039559522109975 0.0 0.0"
"UE-9";"0.006";"-29.752149541926084 0.0 0.0"
"UE-10";"0.006";"-35.9896754866775 0.0 0.0"
"UE-1";"0.007";"-11.009336529607342 0.0 0.0"
"UE-2";"0.007";"-0.6188359840831326 0.0 0.0"
"UE-3";"0.007";"-37.13851113578693 0.0 0.0"
"UE-4";"0.007";"-8.985060742254763 0.0 0.0"
"UE-5";"0.007";"18.564029836336854 0.0 0.0"
"UE-6";"0.007";"-16.423177033485892 0.0 0.0"
"UE-7";"0.007";"-7.334747407309604 0.0 0.0"
"UE-8";"0.007";"-34.037093955368455 0.0 0.0"
"UE-9";"0.007";"-32.020128546536064 0.0 0.0"
"UE-10";"0.007";"-35.89496534707263 0.0 0.0"
"UE-1";"0.008";"-11.404273631833064 0.0 0.0"
"UE-2";"0.008";"-2.554631791913165 0.0 0.0"
"UE-3";"0.008";"-37.37981481107423 0.0 0.0"
"UE-4";"0.008";"-5.593299397747714 0.0 0.0"
"UE-5";"0.008";"20.19546184960482 0.0 0.0"
"UE-6";"0.008";"-12.94851106321653 0.0 0.0"
"UE-7";"0.008";"-2.929965814553252 0.0 0.0"
"UE-8";"0.008";"-35.14212113232793 0.0 0.0"
"UE-9";"0.008";"-31.3011088939456 0.0 0.0"
"UE-10";"0.008";"-34.87239096679755 0.0 0.0"
"UE-1";"0.009000000000000001";"-11.976378985046392 0.0 0.0"
"UE-2";"0.009000000000000001";"-0.4105834511128541 0.0 0.0"
"UE-3";"0.009000000000000001";"-37.51211394596745 0.0 0.0"
"UE-4";"0.009000000000000001";"-9.200052321254528 0.0 0.0"
"UE-5";"0.009000000000000001";"21.976873165347754 0.0 0.0"
"UE-6";"0.009000000000000001";"-19.458343008824897 0.0 0.0"
"UE-7";"0.009000000000000001";"-5.901977358829566 0.0 0.0"
"UE-8";"0.009000000000000001";"-32.869825024253984 0.0 0.0"
"UE-9";"0.009000000000000001";"-28.35317112450342 0.0 0.0"
"UE-10";"0.009000000000000001";"-33.43843308429476 0.0 0.0"
"UE-1";"0.010000000000000002";"-14.132341926730705 0.0 0.0"
"UE-2";"0.010000000000000002";"-0.62049482252084 0.0 0.0"
"UE-3";"0.010000000000000002";"-38.1840495188697 0.0 0.0"
"UE-4";"0.010000000000000002";"-8.349058500540469 0.0 0.0"
"UE-5";"0.010000000000000002";"22.855519516597912 0.0 0.0"
"UE-6";"0.010000000000000002";"-15.191898294161168 0.0 0.0"
